size;resolution;mask_size;nanoseconds
5;1280x720;5x5;43990100
5;1280x720;7x7;81309500
5;1280x720;9x9;132240200
5;1280x720;11x11;202110900
5;1280x720;13x13;287870200
5;1280x720;15x15;403726500
4;640x360;3x3;5758500
4;640x360;5x5;12553800
4;640x360;7x7;23418400
4;640x360;9x9;37772300
4;640x360;11x11;53055500
4;640x360;13x13;74377700
4;640x360;15x15;98513800
3;320x180;3x3;2337200
3;320x180;5x5;3636600
3;320x180;7x7;6711900
3;320x180;9x9;9672800
3;320x180;11x11;13424100
3;320x180;13x13;18632600
3;320x180;15x15;25054200
2;160x90;3x3;1482900
2;160x90;5x5;1963000
2;160x90;7x7;3331100
2;160x90;9x9;4832100
2;160x90;11x11;6761100
2;160x90;13x13;9191200
2;160x90;15x15;11912200
1;80x45;3x3;813800
1;80x45;5x5;1387900
1;80x45;7x7;2149800
1;80x45;9x9;3268400
1;80x45;11x11;4375500
1;80x45;13x13;5806800
1;80x45;15x15;7573800
5;1280x720;3x3;21752800
5;1280x720;5x5;45988200
5;1280x720;7x7;85727000
5;1280x720;9x9;137739000
5;1280x720;11x11;200791000
5;1280x720;13x13;269872900
5;1280x720;15x15;367283100
4;640x360;3x3;5494200
4;640x360;5x5;11944000
4;640x360;7x7;22113200
4;640x360;9x9;35594800
4;640x360;11x11;51735500
4;640x360;13x13;73346600
4;640x360;15x15;100724300
3;320x180;3x3;3642000
3;320x180;5x5;5768400
3;320x180;7x7;6411900
3;320x180;9x9;9517800
3;320x180;11x11;13834000
3;320x180;13x13;18676300
3;320x180;15x15;27236000
2;160x90;3x3;1768100
2;160x90;5x5;6094200
2;160x90;7x7;5224600
2;160x90;9x9;5258500
2;160x90;11x11;7314500
2;160x90;13x13;9439600
2;160x90;15x15;12109900
1;80x45;3x3;1104400
1;80x45;5x5;2219500
1;80x45;7x7;2742800
1;80x45;9x9;4003100
1;80x45;11x11;5101800
1;80x45;13x13;6032700
1;80x45;15x15;8164000
5;1280x720;3x3;21083600
5;1280x720;5x5;50852500
5;1280x720;7x7;91796900
5;1280x720;9x9;146860800
5;1280x720;11x11;214236000
5;1280x720;13x13;282451800
5;1280x720;15x15;377614100
4;640x360;3x3;5397300
4;640x360;5x5;12312300
4;640x360;7x7;21867800
4;640x360;9x9;35220800
4;640x360;11x11;51451500
4;640x360;13x13;71101800
4;640x360;15x15;94187400
3;320x180;3x3;1617400
3;320x180;5x5;3262500
